backbone.levels.1.blocks.0.norm1.0.weight	torch.Size([640])
backbone.levels.1.blocks.0.norm1.0.bias	torch.Size([640])
backbone.levels.1.blocks.0.dcn.offset.bias	torch.Size([360])
backbone.levels.1.blocks.0.dcn.center_feature_scale_proj_weight	torch.Size([20, 640])
backbone.levels.1.blocks.0.dcn.center_feature_scale_proj_bias	torch.Size([20])
backbone.levels.1.blocks.0.dcn.dw_conv.0.weight	torch.Size([640, 1, 5, 5])
backbone.levels.1.blocks.0.dcn.dw_conv.0.bias	torch.Size([640])
backbone.levels.1.blocks.0.dcn.dw_conv.1.1.weight	torch.Size([640])
backbone.levels.1.blocks.0.dcn.dw_conv.1.1.bias	torch.Size([640])
backbone.levels.1.blocks.0.dcn.offset.weight	torch.Size([360, 640])
backbone.levels.1.blocks.0.dcn.mask.weight	torch.Size([180, 640])
backbone.levels.1.blocks.0.dcn.mask.bias	torch.Size([180])
backbone.levels.1.blocks.0.dcn.input_proj.weight	torch.Size([640, 640])
backbone.levels.1.blocks.0.dcn.input_proj.bias	torch.Size([640])
backbone.levels.1.blocks.0.dcn.output_proj.weight	torch.Size([640, 640])
backbone.levels.1.blocks.0.dcn.output_proj.bias	torch.Size([640])
backbone.levels.1.blocks.0.norm2.0.weight	torch.Size([640])
backbone.levels.1.blocks.0.norm2.0.bias	torch.Size([640])
backbone.levels.1.blocks.0.mlp.fc1.weight	torch.Size([2560, 640])
backbone.levels.1.blocks.0.mlp.fc1.bias	torch.Size([2560])
backbone.levels.1.blocks.0.mlp.fc2.weight	torch.Size([640, 2560])
backbone.levels.1.blocks.0.mlp.fc2.bias	torch.Size([640])
backbone.levels.1.blocks.0.res_post_norm1.0.weight	torch.Size([640])
backbone.levels.1.blocks.0.res_post_norm1.0.bias	torch.Size([640])
backbone.levels.1.blocks.0.res_post_norm2.0.weight	torch.Size([640])
backbone.levels.1.blocks.0.res_post_norm2.0.bias	torch.Size([640])
backbone.levels.1.blocks.1.norm1.0.weight	torch.Size([640])
backbone.levels.1.blocks.1.norm1.0.bias	torch.Size([640])
backbone.levels.1.blocks.1.dcn.offset.bias	torch.Size([360])
backbone.levels.1.blocks.1.dcn.center_feature_scale_proj_weight	torch.Size([20, 640])
backbone.levels.1.blocks.1.dcn.center_feature_scale_proj_bias	torch.Size([20])
backbone.levels.1.blocks.1.dcn.dw_conv.0.weight	torch.Size([640, 1, 5, 5])
backbone.levels.1.blocks.1.dcn.dw_conv.0.bias	torch.Size([640])
backbone.levels.1.blocks.1.dcn.dw_conv.1.1.weight	torch.Size([640])
