block3.1.attn.spatial_gating_unit.conv1_1.weight	torch.Size([320, 1, 1, 11])
block3.1.attn.spatial_gating_unit.conv1_1.bias	torch.Size([320])
block3.1.attn.spatial_gating_unit.conv1_2.weight	torch.Size([320, 1, 11, 1])
block3.1.attn.spatial_gating_unit.conv1_2.bias	torch.Size([320])
block3.1.attn.spatial_gating_unit.conv2_1.weight	torch.Size([320, 1, 1, 21])
block3.1.attn.spatial_gating_unit.conv2_1.bias	torch.Size([320])
block3.1.attn.spatial_gating_unit.conv2_2.weight	torch.Size([320, 1, 21, 1])
block3.1.attn.spatial_gating_unit.conv2_2.bias	torch.Size([320])
block3.1.attn.spatial_gating_unit.conv3.weight	torch.Size([320, 320, 1, 1])
block3.1.attn.spatial_gating_unit.conv3.bias	torch.Size([320])
block3.1.attn.proj_2.weight	torch.Size([320, 320, 1, 1])
block3.1.attn.proj_2.bias	torch.Size([320])
block3.1.norm2.weight	torch.Size([320])
block3.1.norm2.bias	torch.Size([320])
block3.1.norm2.running_mean	torch.Size([320])
block3.1.norm2.running_var	torch.Size([320])
block3.1.norm2.num_batches_tracked	torch.Size([])
block3.1.mlp.fc1.weight	torch.Size([1280, 320, 1, 1])
block3.1.mlp.fc1.bias	torch.Size([1280])
block3.1.mlp.dwconv.weight	torch.Size([1280, 1, 3, 3])
block3.1.mlp.dwconv.bias	torch.Size([1280])
block3.1.mlp.fc2.weight	torch.Size([320, 1280, 1, 1])
block3.1.mlp.fc2.bias	torch.Size([320])
block3.2.layer_scale_1	torch.Size([320])
block3.2.layer_scale_2	torch.Size([320])
block3.2.norm1.weight	torch.Size([320])
block3.2.norm1.bias	torch.Size([320])
block3.2.norm1.running_mean	torch.Size([320])
block3.2.norm1.running_var	torch.Size([320])
block3.2.norm1.num_batches_tracked	torch.Size([])
block3.2.attn.proj_1.weight	torch.Size([320, 320, 1, 1])
block3.2.attn.proj_1.bias	torch.Size([320])
block3.2.attn.spatial_gating_unit.conv0.weight	torch.Size([320, 1, 5, 5])
block3.2.attn.spatial_gating_unit.conv0.bias	torch.Size([320])
block3.2.attn.spatial_gating_unit.conv0_1.weight	torch.Size([320, 1, 1, 7])
block3.2.attn.spatial_gating_unit.conv0_1.bias	torch.Size([320])
block3.2.attn.spatial_gating_unit.conv0_2.weight	torch.Size([320, 1, 7, 1])
block3.2.attn.spatial_gating_unit.conv0_2.bias	torch.Size([320])
block3.2.attn.spatial_gating_unit.conv1_1.weight	torch.Size([320, 1, 1, 11])
block3.2.attn.spatial_gating_unit.conv1_1.bias	torch.Size([320])
block3.2.attn.spatial_gating_unit.conv1_2.weight	torch.Size([320, 1, 11, 1])
block3.2.attn.spatial_gating_unit.conv1_2.bias	torch.Size([320])
block3.2.attn.spatial_gating_unit.conv2_1.weight	torch.Size([320, 1, 1, 21])
block3.2.attn.spatial_gating_unit.conv2_1.bias	torch.Size([320])
block3.2.attn.spatial_gating_unit.conv2_2.weight	torch.Size([320, 1, 21, 1])
block3.2.attn.spatial_gating_unit.conv2_2.bias	torch.Size([320])
block3.2.attn.spatial_gating_unit.conv3.weight	torch.Size([320, 320, 1, 1])
block3.2.attn.spatial_gating_unit.conv3.bias	torch.Size([320])
block3.2.attn.proj_2.weight	torch.Size([320, 320, 1, 1])
block3.2.attn.proj_2.bias	torch.Size([320])
block3.2.norm2.weight	torch.Size([320])
block3.2.norm2.bias	torch.Size([320])
block3.2.norm2.running_mean	torch.Size([320])
block3.2.norm2.running_var	torch.Size([320])
block3.2.norm2.num_batches_tracked	torch.Size([])
block3.2.mlp.fc1.weight	torch.Size([1280, 320, 1, 1])
block3.2.mlp.fc1.bias	torch.Size([1280])
